ORD;REGION;PROV;COMUNA;UNIDAD_EDUCATIVA;RAMA_EDUCACIONAL;DEP;L_M_N;L_M_PROMEDIO;L_M_MAXIMO;L_M_MINIMO;L_N;L_PROMEDIO;L_MAXIMO;L_MINIMO;M_N;M_PROMEDIO;M_MAXIMO;M_MINIMO;H_CS_N;H_CS_PROMEDIO;H_CS_MAXIMO;H_CS_MINIMO;C_N;C_PROMEDIO;C_MAXIMO;C_MINIMO;NOTAS_N;NOTAS_PROMEDIO;NOTAS_MAXIMO;NOTAS_MINIMO;RANK_N;RANK_PROMEDIO;RANK_MAXIMO;RANK_MINIMO;RBD
394;6;CACHAPOAL;RENGO;ESCUELA SANTA TERESA DE AVILA;HC - NOCTURNO;MUNICIPAL;6;383.75;526.5;305.5;6;404.83;565;257;6;362.67;488;282;4;473.50;539;410;3;426.33;529;375;7;570.71;608;509;7;615;677;513;15535
395;6;CACHAPOAL;RENGO;LICEO ELISA ESCOBEDO LA PAZ;HC - NOCTURNO;MUNICIPAL;23;384.57;554.5;245.5;23;378.35;589;220;23;390.78;531;234;18;378.00;579;237;8;370.13;571;285;37;484.03;652;339;37;499.03;730;339;11246
396;6;CACHAPOAL;REQUINOA;ESCUELA BERTA SAAVEDRA SEGURA;HC - NOCTURNO;MUNICIPAL;14;380.43;498.5;290.0;14;396.00;526;274;14;364.86;488;226;9;350.89;464;243;1;375.00;375;375;34;544.82;782;252;34;570.56;850;252;2265
397;6;COLCHAGUA;SAN FERNANDO;LICEO HERIBERTO SOTO SOTO;HC - NOCTURNO;MUNICIPAL;30;436.67;575.0;254.0;30;444.10;594;274;30;429.23;601;234;23;456.61;574;286;8;375.25;490;309;62;485.77;616;374;62;494.39;656;374;11286
398;6;COLCHAGUA;SAN FERNANDO;CENTRO EDUCACIONAL PAULO FREIRE;HC - NOCTURNO;SUBVENC;11;418.50;543.0;250.5;11;424.55;560;242;11;412.45;620;259;10;428.40;545;307;1;392.00;392;392;17;433.29;664;307;17;449.29;850;307;40115
399;6;COLCHAGUA;SAN FERNANDO;COLEGIO AMERICANO;HC - NOCTURNO;SUBVENC;25;461.68;586.0;331.5;25;460.48;601;340;25;462.88;594;282;20;466.40;633;307;9;467.22;524;392;21;449.52;642;363;21;483.29;850;363;15593
400;6;COLCHAGUA;SAN FERNANDO;INSTITUTO FERMIN VIVACETA;HC - NOCTURNO;SUBVENC;3;380.00;424.5;315.5;3;356.00;407;289;3;404.00;560;259;2;261.50;286;237;3;412.00;422;392;14;533.57;778;325;14;548.29;831;325;15848
401;6;COLCHAGUA;CHIMBARONGO;ESCUELA BASICA E-456;HC - NOCTURNO;MUNICIPAL;2;470.00;489.5;450.5;2;469.00;508;430;2;471.00;471;471;2;437.00;464;410;;;;;5;449.80;612;357;5;469.2;678;357;2488
402;6;COLCHAGUA;CHIMBARONGO;ESCUELA G-454 EL PEREJIL;HC - NOCTURNO;MUNICIPAL;1;390.50;390.5;390.5;1;407.00;407;407;1;374.00;374;374;1;399.00;399;399;;;;;8;542.25;656;422;8;605.38;832;422;2507
403;6;COLCHAGUA;CHIMBARONGO;COLEGIO CHIMBARONGO;HC - NOCTURNO;SUBVENC;5;398.40;450.0;278.0;5;427.80;514;274;5;369.00;450;282;3;416.67;539;226;3;370.33;450;224;9;479.67;594;416;9;487.56;654;416;15739
404;6;COLCHAGUA;PALMILLA;LICEO MUNICIPAL DE ADULTOS PALMILLA CENTRO ;HC - NOCTURNO;MUNICIPAL;1;335.00;335.0;335.0;1;317.00;317;317;1;353.00;353;353;1;374.00;374;374;1;407.00;407;407;8;634.50;810;456;8;674.13;850;456;2611
405;6;COLCHAGUA;PALMILLA;LICEO SAN JOSE DEL CARMEN;HC - NOCTURNO;MUNICIPAL;16;409.09;552.5;293.5;16;408.69;560;257;16;409.50;545;259;10;393.20;503;264;8;451.38;524;328;21;483.14;662;341;21;487.1;696;341;2612
406;6;COLCHAGUA;PERALILLO;LICEO VICTOR JARA DE PERALILLO;HC - NOCTURNO;MUNICIPAL;6;382.17;507.5;311.5;6;416.83;554;372;6;347.50;461;234;5;413.80;591;264;4;358.25;422;285;6;552.33;755;390;6;584.33;850;390;2625
407;6;COLCHAGUA;SANTA CRUZ;LICEO MUNICIPAL DE ADULTOS SANTA CRUZ;HC - NOCTURNO;MUNICIPAL;13;405.23;522.5;323.5;13;397.69;565;257;13;412.77;520;330;8;436.13;583;326;7;401.57;437;309;31;460.26;703;297;31;471.16;771;297;15574
408;6;CARDENAL CARO;PICHILEMU;LICEO AGUSTIN ROSS EDWARDS;HC - NOCTURNO;MUNICIPAL;9;401.67;495.5;268.5;9;397.56;520;231;9;405.78;488;306;6;442.00;514;343;3;412.33;490;285;14;488.36;664;331;14;506.29;753;331;2635
409;6;CARDENAL CARO;LITUECHE;LICEO EL ROSARIO (EX.C-41);HC - NOCTURNO;MUNICIPAL;11;387.86;459.5;327.0;11;387.73;526;220;11;388.00;471;282;6;394.17;457;307;6;398.17;472;351;12;462.75;673;351;12;487.25;831;351;2681
410;7;CURICO;CURICO;CENTRO INTEGRADO DE ED. DE ADULTOS DE CURICO;HC - NOCTURNO;MUNICIPAL;25;409.58;537.5;269.5;25;422.52;594;242;25;396.64;520;234;13;466.23;655;326;14;383.43;517;235;35;567.51;806;404;35;610;850;404;2751
411;7;CURICO;CURICO;ESCUELA CAPELLAN JOSE LUIS LOPEZ C.;HC - NOCTURNO;MUNICIPAL;28;338.39;479.5;232.5;28;338.71;471;226;28;338.07;488;219;26;354.50;485;231;;;;;31;571.39;763;394;31;600.29;850;394;2731
412;7;CURICO;CURICO;SOCIEDAD EDUCACIONAL LA ARAUCANA;HC - NOCTURNO;PAGADO;27;454.94;560.0;323.5;27;471.19;639;305;27;438.70;594;259;17;509.65;620;359;13;376.62;545;230;28;460.79;691;333;28;478.5;819;333;16458
413;7;CURICO;CURICO;CENTRO EDUCACIONAL APUMANQUE;HC - NOCTURNO;SUBVENC;17;426.18;525.0;245.5;17;430.82;554;257;17;421.53;515;234;11;453.36;587;359;11;403.45;571;235;32;508.91;662;319;32;576.44;850;319;16457
414;7;TALCA;TALCA;LICEO CARLOS CONDELL DE LA HAZA;HC - NOCTURNO;MUNICIPAL;10;367.50;479.0;243.0;10;393.50;565;204;10;341.50;488;219;9;387.33;553;226;5;354.20;437;261;15;501.80;703;339;15;508.13;738;339;2940
415;7;TALCA;TALCA;CENTRO ED. INTEGRAL DE ADULTOS VICTORIA;HC - NOCTURNO;SUBVENC;4;396.63;501.5;346.0;4;442.25;565;362;4;351.00;438;306;3;451.00;570;343;3;410.67;450;375;4;427.00;567;305;4;430.75;582;305;16752
416;7;TALCA;TALCA;COLEGIO CRISTIANO DE ED. DE AD. EL SEMBRADOR;HC - NOCTURNO;SUBVENC;8;387.31;447.5;339.0;8;398.38;444;340;8;376.25;488;306;7;440.00;525;307;5;387.20;450;351;12;496.00;658;331;12;535.17;793;331;16722
417;7;TALCA;TALCA;COLEGIO PABLO NERUDA DE TALCA;HC - NOCTURNO;SUBVENC;170;423.57;622.5;250.5;170;425.92;653;220;170;421.22;651;226;131;447.65;659;231;96;419.80;591;230;188;491.22;751;295;188;515.43;850;295;16467
418;7;TALCA;TALCA;COLEGIO PIAGET LTDA.;HC - NOCTURNO;SUBVENC;4;392.75;454.0;286.0;4;368.50;471;242;4;417.00;536;330;2;426.50;479;374;3;356.33;392;285;25;494.16;620;244;25;505.2;682;244;3003
419;7;TALCA;TALCA;LICEO MONSEÑOR CARLOS GONZALEZ C.;HC - NOCTURNO;SUBVENC;1;355.00;355.0;355.0;1;317.00;317;317;1;393.00;393;393;;;;;1;407.00;407;407;1;662.00;662;662;1;779;779;779;16462
420;7;TALCA;TALCA;LICEO VICTORIA;HC - NOCTURNO;SUBVENC;7;432.64;497.0;372.0;7;443.00;514;398;7;422.29;509;306;5;475.00;553;374;7;392.14;472;309;12;540.25;759;430;12;579.83;850;430;16656
421;7;TALCA;TALCA;SOCIEDAD EDUCACIONAL LA ARAUCANA;HC - NOCTURNO;SUBVENC;83;429.11;669.5;271.5;83;438.51;725;237;83;419.71;620;282;50;454.74;836;243;60;409.68;660;224;112;492.70;759;339;112;505.03;842;339;16414
422;7;TALCA;CONSTITUCION;LICEO DE CONSTITUCION;HC - NOCTURNO;MUNICIPAL;16;389.06;535.0;232.5;16;408.38;582;231;16;369.75;488;234;10;452.50;674;264;9;410.22;497;309;22;483.86;642;359;22;536.59;850;359;3165
423;7;TALCA;PELARCO;LICEO DE PELARCO (EX.C-41);HC - NOCTURNO;MUNICIPAL;3;331.33;387.0;297.5;3;319.67;381;289;3;343.00;393;306;2;420.00;430;410;1;392.00;392;392;8;601.25;699;460;8;618.75;756;460;3016
424;7;LINARES;LINARES;ESCUELA  F-482 GRACIELA LETELIER VELASCO;HC - NOCTURNO;MUNICIPAL;7;357.43;428.5;305.5;7;374.14;464;305;7;340.71;438;306;3;322.00;359;264;6;392.67;490;309;8;559.00;717;416;8;603.13;850;416;3267
425;7;LINARES;LINARES;ESCUELA F-486 PEDRO AGUIRRE CERDA;HC - NOCTURNO;MUNICIPAL;6;395.92;478.5;311.0;6;420.83;514;329;6;371.00;461;259;3;346.33;449;264;5;363.20;472;219;15;431.27;636;343;15;434;665;343;3261
426;7;LINARES;LINARES;ESCUELA F-491 SALOMON SALMAN DABUD;HC - NOCTURNO;MUNICIPAL;9;436.94;513.5;357.0;9;438.56;531;340;9;435.33;496;330;3;419.67;440;399;6;382.83;472;235;15;517.87;822;357;15;538.6;850;357;3268
427;7;LINARES;LINARES;INSTITUTO COMERCIAL DE LINARES B-27;HC - NOCTURNO;MUNICIPAL;26;426.67;579.0;333.0;26;422.19;613;257;26;431.15;545;330;20;428.10;553;307;14;431.50;545;328;35;493.57;739;363;35;541.83;850;363;3248
428;7;LINARES;LINARES;COLEGIO GRAL. DE DIVISION EMILIO SOTOMAYOR B.;HC - NOCTURNO;SUBVENC;40;392.60;513.0;275.5;40;389.05;576;231;40;396.15;531;234;30;407.23;620;231;15;383.60;545;235;52;490.40;683;361;52;537.1;850;361;16682
429;7;LINARES;LINARES;INSTITUTO EDUCACIONAL DE ADULTOS JAVIERA CARRERA;HC - NOCTURNO;SUBVENC;64;402.16;597.5;234.0;64;411.17;613;226;64;393.16;582;219;43;420.05;633;243;43;392.60;653;235;82;430.28;796;248;82;442.27;850;248;11344
430;7;LINARES;LONGAVI;ESCUELA GABRIEL BENAVENTE BENAVENTE;HC - NOCTURNO;MUNICIPAL;3;467.83;528.5;411.5;3;455.00;526;362;3;480.67;531;450;1;491.00;491;491;2;340.00;450;230;4;644.25;679;586;4;702.25;758;607;3362
431;7;LINARES;LONGAVI;ESCUELA JOSE MIGUEL CARRERA;HC - NOCTURNO;MUNICIPAL;1;383.50;383.5;383.5;1;329.00;329;329;1;438.00;438;438;;;;;1;450.00;450;450;3;530.33;638;434;3;542.33;674;434;3358
432;7;LINARES;PARRAL;CEIA JUANITA ZUÑIGA FUENTES;HC - NOCTURNO;MUNICIPAL;16;415.22;584.0;328.5;16;419.94;594;242;16;410.50;574;259;13;439.46;535;359;8;427.88;584;285;26;448.96;671;319;26;472.65;850;319;3396
433;7;LINARES;RETIRO;COLEGIO ROBINSON CABRERA BELTRAN;HC - NOCTURNO;MUNICIPAL;10;371.45;469.5;331.5;10;359.30;459;289;10;383.60;480;306;7;384.71;457;286;8;384.50;517;285;20;534.50;729;363;20;563.35;830;363;3443
434;7;LINARES;SAN JAVIER;CENTRO DE EDUCACION INTEGRADA DE ADULTOS;HC - NOCTURNO;MUNICIPAL;13;411.08;538.0;268.5;13;412.92;531;231;13;409.23;545;259;9;439.22;595;307;10;417.20;524;309;28;478.00;622;309;28;505.64;728;309;11337
435;7;LINARES;YERBAS BUENAS;ESCUELA SILVANO FERNANDEZ F-505;HC - NOCTURNO;MUNICIPAL;6;369.17;447.5;250.5;6;350.50;444;242;6;387.83;488;259;4;410.50;514;359;6;360.33;407;309;13;498.46;675;335;13;512;760;335;3315
436;7;LINARES;YERBAS BUENAS;LICEO JUAN DE DIOS PUGA (EX.C-44);HC - NOCTURNO;MUNICIPAL;10;374.90;500.0;265.5;10;390.60;520;274;10;359.20;480;226;6;417.00;497;326;8;346.88;524;235;22;517.55;687;382;22;532.86;760;382;3313
437;7;LINARES;YERBAS BUENAS;LICEO JUAN GOMEZ MILLAS;HC - NOCTURNO;MUNICIPAL;3;400.83;479.5;268.5;3;387.00;471;231;3;414.67;488;306;;;;;3;380.00;472;261;12;554.33;774;380;12;567.08;850;380;3317
438;7;CAUQUENES;CAUQUENES;COLEGIO DE ADULTOS PABLO NERUDA;HC - NOCTURNO;SUBVENC;13;370.58;482.0;309.5;13;383.00;484;289;13;358.15;480;282;10;431.00;508;359;8;374.00;534;230;22;494.05;767;309;22;509.23;850;309;16614
439;7;CAUQUENES;CAUQUENES;COLEGIO DE ADULTOS PROMAUCAES;HC - NOCTURNO;SUBVENC;12;427.58;543.0;278.0;12;440.00;571;274;12;415.17;526;282;8;465.25;603;399;8;435.63;524;328;18;547.72;788;388;18;559.89;850;388;16727
440;8;ÑUBLE;CHILLAN;ESCUELA NUEVA ESPERANZA E-204;HC - NOCTURNO;MUNICIPAL;3;433.00;483.5;351.5;3;442.67;503;329;3;423.33;471;374;3;487.67;519;430;3;423.33;497;351;;;;;;;;;3644
441;8;ÑUBLE;CHILLAN;ESCUELA RAMON VINAY SEPULVEDA;HC - NOCTURNO;MUNICIPAL;15;383.50;498.5;274.0;15;395.67;526;231;15;371.33;471;259;14;387.07;491;231;5;349.20;407;285;33;577.70;759;339;33;593.7;814;339;17698
442;8;ÑUBLE;CHILLAN;LICEO VIDA NUEVA;HC - NOCTURNO;MUNICIPAL;35;407.30;526.5;260.5;35;426.06;582;215;35;388.54;488;219;30;440.47;685;243;16;377.50;481;230;64;479.91;709;329;64;512.91;850;329;3645
443;8;ÑUBLE;CHILLAN;CENTRO DE EDUCACION DE ADULTOS INTECH;HC - NOCTURNO;SUBVENC;31;414.87;613.0;309.5;31;414.55;537;289;31;415.19;695;234;17;423.47;562;243;20;393.35;613;230;40;503.45;759;283;40;577.05;850;283;17754
444;8;ÑUBLE;CHILLAN;SOCIEDAD EDUCACIONAL LA ARAUCANA S.A.;HC - NOCTURNO;SUBVENC;132;423.75;634.5;232.5;132;431.04;661;231;132;416.45;668;234;92;454.67;659;237;65;409.17;539;224;163;480.06;812;240;163;497.87;850;240;17829
445;8;ÑUBLE;BULNES;ESCUELA DE ADULTOS ITATA F-1169;HC - NOCTURNO;MUNICIPAL;8;344.63;438.5;305.0;8;327.75;416;242;8;361.50;461;259;8;345.13;449;231;2;326.50;392;261;10;640.00;747;533;10;657.9;779;537;3979
446;8;ÑUBLE;BULNES;LICEO MANUEL BULNES;HC - NOCTURNO;MUNICIPAL;5;372.80;496.0;309.5;5;343.60;496;226;5;402.00;496;330;5;381.80;491;286;1;407.00;407;407;11;537.55;733;450;11;557.82;835;450;3976
447;8;ÑUBLE;COIHUECO;ESCUELA G - 220 EL PORVENIR DE CATO;HC - NOCTURNO;MUNICIPAL;5;370.60;415.5;274.0;5;373.00;430;289;5;368.20;425;259;3;446.33;530;399;5;352.20;472;235;6;626.17;733;501;6;652.67;788;501;3843
448;8;ÑUBLE;COIHUECO;YIRE LICEO POLITECNICO DE COIHUECO;HC - NOCTURNO;SUBVENC;1;359.50;359.5;359.5;1;389.00;389;389;1;330.00;330;330;1;326.00;326;326;;;;;7;576.29;715;460;7;601.29;818;460;17848
449;8;ÑUBLE;CHILLAN VIEJO;ESCUELA BASICA DE NEBUCO;HC - NOCTURNO;MUNICIPAL;3;398.83;448.0;363.0;3;376.67;416;352;3;421.00;480;374;1;535.00;535;535;2;363.00;375;351;3;626.00;723;523;3;641;755;523;3686
450;8;ÑUBLE;CHILLAN VIEJO;LICEO POLIVALENTE JUAN PACHECO ALTAMIRANO;HC - NOCTURNO;MUNICIPAL;6;408.92;482.0;347.5;6;444.00;526;389;6;373.83;526;282;5;476.20;530;440;1;422.00;422;422;8;549.75;652;456;8;561.88;694;456;3656
451;8;ÑUBLE;EL CARMEN;LICEO JUVENAL HERNANDEZ JAQUE (EX.C-74);HC - NOCTURNO;MUNICIPAL;3;423.17;479.5;374.5;3;388.33;444;340;3;458.00;515;409;3;411.33;471;343;2;330.00;375;285;3;517.00;612;456;3;544.67;695;456;3909
452;8;ÑUBLE;ÑIQUEN;LICEO SAN GREGORIO;HC - NOCTURNO;MUNICIPAL;4;382.75;440.0;271.5;4;378.25;471;237;4;387.25;425;306;4;399.75;519;307;3;374.33;497;219;6;662.67;806;525;6;684.33;850;525;3802
453;8;ÑUBLE;PEMUCO;LICEO TOMAS ARNALDO HERRERA VEGA;HC - NOCTURNO;MUNICIPAL;2;380.50;415.5;345.5;2;377.50;438;317;2;383.50;393;374;;;;;2;342.00;375;309;6;492.00;798;414;6;500.67;850;414;3961
454;8;ÑUBLE;PEMUCO;COLEGIO PARTICULAR PEMUCO;HC - NOCTURNO;SUBVENC;1;443.50;443.5;443.5;1;416.00;416;416;1;471.00;471;471;1;525.00;525;525;1;517.00;517;517;;;;;;;;;31098
455;8;ÑUBLE;SAN CARLOS;CENTRO DE EDUCACION INTEGRADA DE ADULTOS A-4;HC - NOCTURNO;MUNICIPAL;6;393.83;445.0;363.5;6;370.67;452;289;6;417.00;450;374;4;371.50;485;243;3;401.33;437;375;9;512.33;814;281;9;524;850;281;3741
456;8;ÑUBLE;SAN CARLOS;ESCUELA AGUA BUENA F-161;HC - NOCTURNO;MUNICIPAL;3;327.00;346.0;317.5;3;334.67;416;226;3;319.33;409;219;3;425.00;497;307;2;341.50;422;261;7;659.43;782;580;7;678;826;582;3757
457;8;ÑUBLE;SAN CARLOS;ESCUELA E-139 GENERAL DOMINGO URRUTIA;HC - NOCTURNO;MUNICIPAL;7;450.07;537.0;324.0;7;454.43;594;274;7;445.71;540;353;7;429.00;595;243;5;396.60;481;328;11;525.00;713;426;11;540.82;801;426;3740
458;8;ÑUBLE;SAN CARLOS;ESCUELA FRANCISCO MOYA CLEMENTT F-97;HC - NOCTURNO;MUNICIPAL;6;377.67;505.5;307.5;6;403.33;531;329;6;352.00;480;226;6;515.67;664;449;5;395.00;462;309;7;618.86;693;535;7;630.43;718;535;3747
459;8;ÑUBLE;SAN CARLOS;ESCUELA G-124 MUTICURA;HC - NOCTURNO;MUNICIPAL;3;344.83;377.5;279.5;3;354.67;362;340;3;335.00;393;219;3;316.67;387;237;3;397.00;407;392;4;660.25;739;555;4;679.75;774;555;3770
460;8;ÑUBLE;SAN IGNACIO;ESCUELA LA ERMITA DE DIGUILLIN;HC - NOCTURNO;MUNICIPAL;4;375.13;430.5;346.0;4;381.75;508;317;4;368.50;438;330;5;429.60;519;343;4;391.00;407;375;9;617.56;782;426;9;633.67;818;426;3901
461;8;ÑUBLE;SAN NICOLAS;LICEO TECNICO PUENTE ÑUBLE;HC - NOCTURNO;MUNICIPAL;1;403.50;403.5;403.5;1;398.00;398;398;1;409.00;409;409;1;387.00;387;387;;;;;1;576.00;576;576;1;593;593;593;4141
462;8;ÑUBLE;TREHUACO;COLEGIO DE ADULTOS CUMBRES DEL ITATA;HC - NOCTURNO;SUBVENC;2;342.00;367.0;317.0;2;366.50;381;352;2;317.50;353;282;2;356.50;387;326;;;;;2;514.00;527;501;2;514;527;501;31095
463;8;ÑUBLE;YUNGAY;ESCUELA DE ADULTOS F-369;HC - NOCTURNO;MUNICIPAL;2;388.25;390.5;386.0;2;385.00;398;372;2;391.50;409;374;2;439.00;479;399;2;389.00;450;328;;;;;;;;;3938
464;8;ÑUBLE;YUNGAY;LICEO YUNGAY;HC - NOCTURNO;MUNICIPAL;4;428.88;601.0;335.5;4;463.00;653;372;4;394.75;549;282;1;387.00;387;387;3;430.00;539;261;11;518.91;602;438;11;527.55;646;438;3940
465;8;BIOBIO;LOS ANGELES;LICEO COM. DIEGO PORTALES PALAZUELO (EX.B-64);HC - NOCTURNO;MUNICIPAL;18;372.97;466.0;317.0;18;375.78;452;305;18;370.17;480;259;13;448.54;553;374;6;405.50;490;328;24;434.92;574;359;24;472.92;799;359;4162
466;8;BIOBIO;LOS ANGELES;LICEO IND. SAMUEL VIVANCO PARADA A-65;HC - NOCTURNO;MUNICIPAL;6;361.33;422.5;287.0;6;371.67;471;274;6;351.00;496;211;4;355.50;479;237;4;362.00;437;285;14;436.36;586;319;14;474.93;729;319;4165
467;8;BIOBIO;LOS ANGELES;COLEGIO PROACAP;HC - NOCTURNO;SUBVENC;38;401.29;593.5;280.5;38;397.08;613;231;38;405.50;574;282;22;420.36;562;343;21;401.48;517;230;45;474.62;780;315;45;493.11;850;315;31124
468;8;BIOBIO;LOS ANGELES;CTRO. EVANGELICO PARA LA EDUC. DE AD. CEPLEA;HC - NOCTURNO;SUBVENC;3;440.17;507.0;391.0;3;467.67;543;389;3;412.67;471;374;2;464.50;530;399;1;392.00;392;392;4;467.00;497;418;4;484.25;533;418;17726
469;8;BIOBIO;LOS ANGELES;ESCUELA DE ADULTOS INTECAP;HC - NOCTURNO;SUBVENC;44;402.25;561.5;288.0;44;409.23;571;257;44;395.27;574;234;27;397.59;607;243;29;385.07;539;224;51;410.12;557;238;51;442.31;785;238;18082
470;8;BIOBIO;LOS ANGELES;INSTITUTO PROF. Y CFT STA. LUCIA E.I.R.L.;HC - NOCTURNO;SUBVENC;9;356.67;444.5;288.0;9;364.00;496;237;9;349.33;409;259;5;414.80;485;343;7;305.00;407;208;12;514.92;638;374;12;548.33;723;374;17795
471;8;BIOBIO;CABRERO;LICEO MANUEL ARISTIDES ZAÑARTU ZAÑARTU (EX.B-79);HC - NOCTURNO;MUNICIPAL;7;423.64;546.5;317.5;7;425.57;613;305;7;421.71;480;330;4;435.25;600;208;4;413.50;553;328;10;482.80;640;372;10;499.4;739;372;4289
472;8;BIOBIO;LAJA;C.E.I.A. INSTITUTO RUBEN CAMPOS LOPEZ;HC - NOCTURNO;MUNICIPAL;2;365.75;390.5;341.0;2;362.00;372;352;2;369.50;409;330;1;343.00;343;343;;;;;2;512.00;606;418;2;563;708;418;17847
473;8;BIOBIO;LAJA;CENTRO DE EDUC.DE ADULTOS MANANTIAL DE AGUA VIVA;HC - NOCTURNO;SUBVENC;7;334.14;493.5;250.5;7;303.86;438;226;7;364.43;549;259;6;417.00;503;307;3;378.33;392;351;13;511.00;697;406;13;535.92;809;406;12042
474;8;BIOBIO;MULCHEN;ESCUELA VILLA LA GRANJA;HC - NOCTURNO;MUNICIPAL;15;383.10;505.5;280.5;15;367.47;496;231;15;398.73;515;330;10;350.70;457;231;12;351.58;437;230;15;486.60;723;339;15;510.87;850;339;17751
475;8;BIOBIO;NACIMIENTO;ESCUELA NACIMIENTO DE NUESTRO SEÑOR;HC - NOCTURNO;MUNICIPAL;6;396.33;443.0;259.5;6;382.83;444;237;6;409.83;488;282;3;465.00;545;359;6;397.50;450;309;14;500.86;685;374;14;507.29;739;374;17924
476;8;BIOBIO;TUCAPEL;CENTRO DE ED. INT. DE AD. ADELAIDA MORENO;HC - NOCTURNO;MUNICIPAL;5;383.40;464.0;258.0;5;399.00;503;257;5;367.80;425;259;4;395.00;464;307;6;309.50;375;235;10;502.60;594;400;10;525.3;661;400;17880
477;8;BIOBIO;YUMBEL;CENTRO EDUCATIVO INTEGRAL DE ADULTOS C.E.I.A.;HC - NOCTURNO;MUNICIPAL;12;368.25;517.0;262.0;12;357.42;508;242;12;379.08;526;282;11;354.45;471;243;5;390.00;450;309;18;518.44;763;384;18;537.28;850;384;17846
478;8;CONCEPCION;CONCEPCION;C.E.I.A. JANEQUEO;HC - NOCTURNO;MUNICIPAL;178;434.93;690.0;274.0;178;440.91;736;231;178;428.96;644;211;102;460.83;664;231;112;423.63;587;230;214;478.11;794;317;214;489.51;850;317;17879
479;8;CONCEPCION;CONCEPCION;LICEO DE ADULTOS JOSE MANUEL BALMACEDA A-85;HC - NOCTURNO;MUNICIPAL;44;408.47;578.0;259.5;44;411.77;625;237;44;405.16;568;226;32;446.00;633;243;22;403.18;559;235;54;541.39;739;269;54;557.37;824;269;4558
480;8;CONCEPCION;CONCEPCION;C.E.I.A. DIEGO PORTALES;HC - NOCTURNO;PAGADO;28;425.64;614.0;300.0;28;421.00;646;226;28;430.29;582;306;15;467.27;659;326;16;402.38;517;309;30;490.53;662;359;30;586.2;850;359;17602
481;8;CONCEPCION;CONCEPCION;COLEGIO EINSTEIN;HC - NOCTURNO;PAGADO;48;490.55;666.5;305.0;48;486.04;762;257;48;495.06;644;353;34;481.38;646;326;28;435.82;559;235;50;482.44;638;359;50;500.28;738;359;17658
482;8;CONCEPCION;CONCEPCION;SOCIEDAD EDUCACIONAL LA ARAUCANA S.A.;HC - NOCTURNO;PAGADO;123;452.91;588.5;286.0;123;451.44;646;242;123;454.39;579;282;69;452.38;574;226;84;435.50;591;261;121;448.21;707;311;121;468.83;850;311;17697
483;8;CONCEPCION;CONCEPCION;CEIA MONS. ALFREDO SILVA SANTIAGO;HC - NOCTURNO;SUBVENC;123;397.96;566.5;254.0;123;397.99;565;215;123;397.93;607;196;91;411.59;624;231;62;381.53;539;230;162;506.96;790;325;162;519.07;850;325;4661
484;8;CONCEPCION;CONCEPCION;CENTRO DE EDUCACION DE ADULTOS PITAGORAS;HC - NOCTURNO;SUBVENC;101;420.65;626.5;228.5;101;433.30;633;226;101;408.00;620;219;61;469.57;685;264;58;401.02;602;224;112;454.66;632;275;112;458.62;663;275;17701
485;8;CONCEPCION;CONCEPCION;COLEGIO ALBERTO BLEST GANA;HC - NOCTURNO;SUBVENC;2;338.25;345.0;331.5;2;380.00;471;289;2;296.50;374;219;1;399.00;399;399;2;422.00;437;407;8;519.75;606;355;8;597.5;749;355;11715
486;8;CONCEPCION;CONCEPCION;COLEGIO INGLES BRITISH ROYAL SCHOOL;HC - NOCTURNO;SUBVENC;239;385.03;586.5;228.0;239;376.36;646;204;239;393.69;607;211;157;390.50;612;226;109;389.89;637;208;305;464.12;689;299;305;476.37;836;299;17607
487;8;CONCEPCION;CONCEPCION;COLEGIO PARA ADULTOS RENACER;HC - NOCTURNO;SUBVENC;61;401.63;531.0;209.0;61;412.72;582;237;61;390.54;545;181;37;425.35;539;264;33;400.91;524;261;64;469.55;721;295;64;491.77;850;295;17796
488;8;CONCEPCION;CONCEPCION;ESCUELA PARTICULAR N° 77 EL NAZARENO;HC - NOCTURNO;SUBVENC;7;441.93;509.5;371.0;7;471.71;594;389;7;412.14;480;353;3;470.00;539;374;4;399.25;462;351;20;499.70;715;335;20;538.5;850;335;4670
489;8;CONCEPCION;CONCEPCION;LICEO TECNICO PROF. DE ADULTOS DEL BIOBIO;HC - NOCTURNO;SUBVENC;58;358.90;567.0;230.5;58;352.31;646;226;58;365.48;488;219;48;372.48;583;208;50;332.32;517;203;48;530.79;767;297;48;545.15;850;297;31104
490;8;CONCEPCION;CORONEL;CENTRO EDUCACION INTEGRADA DE ADULTOS CORONEL;HC - NOCTURNO;MUNICIPAL;60;389.73;590.5;261.5;60;403.35;661;231;60;376.12;594;203;38;388.13;624;264;40;389.88;591;224;81;498.49;784;252;81;510.6;841;252;17654
491;8;CONCEPCION;CORONEL;LICEO DE CORONEL (EX.A-49);HC - NOCTURNO;MUNICIPAL;18;430.53;565.5;271.5;18;442.72;594;237;18;418.33;549;306;13;478.15;595;307;12;466.83;529;328;28;490.32;743;323;28;511.75;850;323;4982
492;8;CONCEPCION;CORONEL;COLEGIO EL RENOVAL;HC - NOCTURNO;SUBVENC;4;434.75;638.0;292.0;4;399.25;625;231;4;470.25;651;353;2;306.50;387;226;1;567.00;567;567;5;640.00;778;592;5;696.4;850;636;18248
