"REGION","PROV","COMUNA","UNIDAD_EDUCATIVA","RAMA_EDUCACIONAL","DEP","L_M_N","L_M_PROMEDIO","L_M_MAXIMO","L_M_MINIMO","L_N","L_PROMEDIO","L_MAXIMO","L_MINIMO","M_N","M_PROMEDIO","M_MAXIMO","M_MINIMO","H_CS_N","H_CS_PROMEDIO","H_CS_MAXIMO","H_CS_MINIMO","C_N","C_PROMEDIO","C_MAXIMO","C_MINIMO","NOTAS_N","NOTAS_PROMEDIO","NOTAS_MAXIMO","NOTAS_MINIMO","RANK_N","RANK_PROMEDIO","RANK_MAXIMO","RANK_MINIMO","RBD"
15,"ARICA","ARICA","COLEGIO INTEGRADO EDUARDO FREI MONTALVA","HC - DIURNO","MUNICIPAL",39,"432.17","574.0","313.5",39,"421.64",576,274,39,"442.69",594,306,22,"438.18",525,326,26,"431.15",576,309,41,"483.95",684,352,41,"488.85",728,352,8
15,"ARICA","ARICA","ESCUELA REPUBLICA DE FRANCIA","HC - DIURNO","MUNICIPAL",6,"438.08","462.0","383.0",6,"410.00",464,305,6,"466.17",488,438,6,"417.83",457,387,4,"419.25",472,351,10,"552.60",768,385,10,"634",850,385,10
15,"ARICA","ARICA","LICEO ARTISTICO DR. JUAN NOE CREVANI","HC - DIURNO","MUNICIPAL",22,"445.66","714.5","341.0",22,"449.05",716,329,22,"442.27",713,306,20,"458.40",822,264,9,"433.78",737,285,27,"507.30",723,395,27,"518.74",825,395,15
15,"ARICA","ARICA","LICEO JOVINA NARANJO FERNANDEZ A-5","HC - DIURNO","MUNICIPAL",64,"472.82","612.5","246.5",64,"477.80",646,257,64,"467.84",614,219,32,"474.50",674,326,40,"471.75",637,328,68,"506.12",688,367,68,"514.37",751,367,5
15,"ARICA","ARICA","LICEO OCTAVIO PALMA PEREZ A-1","HC - DIURNO","MUNICIPAL",339,"506.58","692.0","309.5",339,"496.14",749,257,339,"517.01",751,282,162,"501.46",780,237,256,"496.32",744,235,345,"631.14",795,336,345,"637.81",830,336,4
15,"ARICA","ARICA","COLEGIO ANDINO","HC - DIURNO","PAGADO",19,"459.92","557.0","351.0",19,"440.05",565,372,19,"479.79",594,330,11,"476.00",565,343,18,"462.78",571,375,19,"523.05",713,397,19,"527.37",742,397,12502
15,"ARICA","ARICA","COLEGIO SAN JORGE","HC - DIURNO","PAGADO",38,"566.93","696.0","390.5",38,"559.05",807,352,38,"574.82",706,374,20,"558.60",726,286,31,"550.32",744,407,38,"636.84",795,379,38,"654.24",850,379,59
15,"ARICA","ARICA","JUNIOR COLLEGE","HC - DIURNO","PAGADO",44,"571.16","751.0","445.0",44,"578.82",786,407,44,"563.50",817,409,20,"577.60",766,440,26,"600.38",850,392,44,"604.55",793,494,44,"610",837,494,69
15,"ARICA","ARICA","ABRAHAM LINCOLN SCHOOL","HC - DIURNO","SUBVENC",20,"541.70","649.5","433.0",20,"519.70",669,381,20,"563.70",644,450,10,"496.40",641,359,18,"531.11",650,328,20,"627.35",789,470,20,"641.95",850,470,67
15,"ARICA","ARICA","COLEGIO ADVENTISTA DE ARICA","HC - DIURNO","SUBVENC",37,"492.34","620.0","355.0",37,"472.62",633,317,37,"512.05",651,393,10,"464.80",603,326,28,"489.86",626,328,37,"576.54",725,435,37,"592.22",788,435,50
15,"ARICA","ARICA","COLEGIO ALEMAN DE ARICA","HC - DIURNO","SUBVENC",40,"496.86","672.0","355.5",40,"496.58",762,352,40,"497.15",706,330,19,"480.32",674,243,27,"501.19",708,375,42,"605.45",799,338,42,"623.95",850,338,60
15,"ARICA","ARICA","COLEGIO ARICA COLLEGE","HC - DIURNO","SUBVENC",31,"522.66","712.0","416.5",31,"518.81",749,289,31,"526.52",675,330,27,"530.33",822,399,20,"534.20",677,422,31,"537.42",702,433,31,"550.58",788,433,12587
15,"ARICA","ARICA","COLEGIO CARDENAL ANTONIO SAMORE","HC - DIURNO","SUBVENC",106,"516.02","739.0","333.0",106,"504.52",725,329,106,"527.52",817,259,52,"503.81",780,343,79,"485.63",737,261,108,"582.91",801,410,108,"607.19",850,410,10915
15,"ARICA","ARICA","COLEGIO CARDENAL RAUL SILVA HENRIQUEZ","HC - DIURNO","SUBVENC",30,"479.97","599.0","377.5",30,"452.20",625,289,30,"507.73",644,330,16,"452.50",565,374,19,"419.47",529,285,36,"584.86",746,455,36,"591.67",774,455,12713
15,"ARICA","ARICA","COLEGIO ITALIANO SANTA ANA","HC - DIURNO","SUBVENC",75,"508.25","625.5","278.0",75,"496.53",669,274,75,"519.96",640,282,36,"493.61",624,326,51,"516.71",633,328,75,"563.17",768,381,75,"577.93",841,381,45
15,"ARICA","ARICA","COLEGIO JUAN PABLO II","HC - DIURNO","SUBVENC",52,"419.91","602.0","313.5",52,"421.08",625,274,52,"418.75",582,259,32,"417.69",545,243,26,"426.15",626,309,57,"513.47",708,391,57,"527.89",797,391,30003
15,"ARICA","ARICA","COLEGIO LEONARDO DA VINCI","HC - DIURNO","SUBVENC",13,"429.31","490.0","334.0",13,"414.85",496,274,13,"443.77",536,306,7,"465.29",545,374,6,"404.50",497,328,14,"554.57",696,433,14,"559.57",717,433,12630
15,"ARICA","ARICA","COLEGIO MIRAMAR","HC - DIURNO","SUBVENC",22,"460.50","551.5","334.0",22,"464.95",565,305,22,"456.05",579,306,12,"444.42",565,307,13,"467.23",529,392,26,"540.77",713,381,26,"551.42",772,381,12716
15,"ARICA","ARICA","COLEGIO SAN MARCOS","HC - DIURNO","SUBVENC",66,"570.08","694.5","241.5",66,"568.52",775,257,66,"571.64",706,226,41,"576.88",780,387,56,"563.13",751,392,66,"599.14",783,435,66,"621.26",850,435,56
15,"ARICA","ARICA","COLEGIO SAUCACHE","HC - DIURNO","SUBVENC",76,"470.96","592.5","339.0",76,"453.36",625,305,76,"488.57",695,306,36,"443.47",574,286,56,"465.00",584,285,79,"573.56",777,416,79,"583.7",827,416,12547
15,"ARICA","ARICA","COLEGIO TECNOLOGICO DE ARICA","HC - DIURNO","SUBVENC",13,"413.08","507.5","333.5",13,"382.77",503,242,13,"443.38",545,306,9,"389.78",479,286,7,"425.29",534,309,15,"560.93",702,381,15,"566.33",724,381,40230
15,"ARICA","ARICA","FORD COLLEGE","HC - DIURNO","SUBVENC",28,"535.32","668.0","425.0",28,"528.57",685,305,28,"542.07",671,409,21,"532.14",710,307,23,"493.13",626,375,27,"563.63",762,414,27,"580.33",842,414,10906
15,"ARICA","ARICA","LICEO DOMINGO SANTA MARIA","HC - DIURNO","SUBVENC",205,"485.18","701.5","268.5",205,"475.11",716,215,205,"495.25",741,259,120,"467.68",664,286,135,"472.50",663,261,213,"546.45",775,350,213,"556.3",827,350,52
15,"ARICA","ARICA","NORTH AMERICAN COLLEGE","HC - DIURNO","SUBVENC",154,"488.52","650.5","293.5",154,"479.03",685,257,154,"498.01",685,282,81,"502.60",674,286,118,"489.66",663,261,161,"545.17",781,363,161,"550.87",819,363,10892
1,"IQUIQUE","IQUIQUE","ESCUELA ARTISTICA VIOLETA PARRA","HC - DIURNO","MUNICIPAL",17,"441.82","576.5","324.0",17,"439.41",589,274,17,"444.24",564,374,13,"407.23",579,226,5,"392.40",567,309,18,"529.56",655,399,18,"542.44",712,399,103
1,"IQUIQUE","IQUIQUE","LICEO LIB. GRAL. BDO. O'HIGGINS RIQUELME ( EX.A-7)","HC - DIURNO","MUNICIPAL",121,"490.69","694.0","329.0",121,"497.02",725,289,121,"484.35",727,306,59,"487.51",696,264,82,"466.07",697,224,134,"577.19",795,391,134,"603.67",850,391,107
1,"IQUIQUE","IQUIQUE","COLEGIO LIRIMA SOCIEDAD ANONIMA","HC - DIURNO","PAGADO",38,"629.01","791.5","442.0",38,"616.68",786,381,38,"641.34",834,503,18,"643.56",751,491,23,"618.83",809,472,39,"623.92",773,486,39,"638.72",838,486,10900
1,"IQUIQUE","IQUIQUE","COLEGIO NIMARA","HC - DIURNO","PAGADO",5,"512.50","596.0","398.5",5,"504.40",613,372,5,"520.60",579,425,4,"476.75",574,359,4,"508.25",545,462,5,"528.20",571,466,5,"528.2",571,466,40336
1,"IQUIQUE","IQUIQUE","EAGLES COLLEGE","HC - DIURNO","PAGADO",6,"584.17","660.0","493.5",6,"566.83",639,526,6,"601.50",727,461,1,"553.00",553,553,6,"570.00",682,497,6,"644.00",746,494,6,"660.33",785,494,12657
1,"IQUIQUE","IQUIQUE","COLEGIO ACADEMIA TARAPACA (SEDE ORELLA)","HC - DIURNO","SUBVENC",94,"539.43","695.0","357.5",94,"525.78",716,362,94,"553.07",751,353,67,"555.79",717,243,63,"503.98",669,261,95,"580.96",766,399,95,"603.36",850,399,40320
1,"IQUIQUE","IQUIQUE","COLEGIO ADVENTISTA DE IQUIQUE","HC - DIURNO","SUBVENC",37,"473.11","626.5","341.0",37,"466.84",646,289,37,"479.38",651,282,14,"445.21",579,326,32,"460.22",587,285,37,"561.86",756,439,37,"589.68",850,439,133
1,"IQUIQUE","IQUIQUE","COLEGIO ANTAMARA","HC - DIURNO","SUBVENC",43,"459.58","592.0","257.5",43,"469.07",653,237,43,"450.09",545,226,17,"495.94",669,264,28,"436.86",580,261,45,"561.40",742,393,45,"579.91",847,393,12594
1,"IQUIQUE","IQUIQUE","COLEGIO DIOCESANO OBISPO LABBE","HC - DIURNO","SUBVENC",58,"494.50","667.5","315.5",58,"490.60",695,257,58,"498.40",675,306,33,"479.73",669,231,34,"485.79",613,309,59,"556.64",766,410,59,"575.19",850,410,12518
1,"IQUIQUE","IQUIQUE","COLEGIO HISPANO BRITANICO","HC - DIURNO","SUBVENC",70,"639.39","755.0","531.0",70,"628.56",797,484,70,"650.23",834,531,30,"599.70",794,479,49,"612.06",799,450,70,"633.11",787,482,70,"642.89",829,482,12669
1,"IQUIQUE","IQUIQUE","COLEGIO HISPANO ITALIANO","HC - DIURNO","SUBVENC",23,"503.00","608.5","328.5",23,"487.17",606,352,23,"518.83",620,259,20,"474.95",595,374,15,"461.33",571,309,24,"610.58",795,425,24,"638.42",850,425,12590
1,"IQUIQUE","IQUIQUE","COLEGIO HUMBERSTONE","HC - DIURNO","SUBVENC",85,"550.26","767.5","377.0",85,"530.48",797,274,85,"570.04",850,409,38,"531.21",751,359,46,"568.96",778,309,85,"592.82",797,414,85,"610.25",850,414,12667
1,"IQUIQUE","IQUIQUE","COLEGIO LATINOAMERICANO LAS PARINAS","HC - DIURNO","SUBVENC",20,"438.68","643.5","266.5",20,"443.35",716,274,20,"434.00",571,259,11,"409.55",525,231,11,"428.91",549,328,21,"530.71",814,328,21,"575.52",850,328,12741
1,"IQUIQUE","IQUIQUE","COLEGIO MAHATMA GANDHI","HC - DIURNO","SUBVENC",78,"460.75","592.5","297.5",78,"459.14",618,242,78,"462.36",611,306,39,"463.87",664,286,47,"452.51",576,261,82,"499.27",702,326,82,"536.5",850,326,40295
1,"IQUIQUE","IQUIQUE","COLEGIO MARIA REINA","HC - DIURNO","SUBVENC",56,"481.45","595.0","341.0",56,"485.52",618,329,56,"477.38",589,353,25,"495.56",646,399,45,"463.64",587,224,56,"510.18",678,395,56,"538.7",831,395,12573
1,"IQUIQUE","IQUIQUE","COLEGIO ÑUSTA KORI","HC - DIURNO","SUBVENC",36,"462.85","561.0","334.5",36,"468.22",613,231,36,"457.47",574,282,24,"466.33",607,359,16,"469.38",571,351,38,"454.29",729,348,38,"473.29",850,348,12515
1,"IQUIQUE","IQUIQUE","COLEGIO SAINT MARGARETH ROSE","HC - DIURNO","SUBVENC",22,"491.07","648.5","351.5",22,"487.05",677,289,22,"495.09",620,259,17,"466.00",553,343,13,"499.62",591,309,25,"512.20",690,391,25,"530.44",795,391,10901
1,"IQUIQUE","IQUIQUE","COLEGIO SALESIANO IQUIQUE","HC - DIURNO","SUBVENC",53,"524.07","758.5","309.5",53,"509.23",749,289,53,"538.91",768,330,23,"531.70",717,374,36,"473.75",677,230,55,"523.02",748,406,55,"530.2",803,406,12672
1,"IQUIQUE","IQUIQUE","COLEGIO UNIVERSITARIO UNAP","HC - DIURNO","SUBVENC",64,"504.83","702.0","313.5",64,"503.48",775,274,64,"506.17",719,282,25,"502.52",691,343,44,"488.91",693,285,68,"525.10",750,352,68,"540.63",841,352,12735
1,"IQUIQUE","IQUIQUE","CORONA SCHOOL","HC - DIURNO","SUBVENC",44,"467.80","601.0","334.0",44,"475.32",633,362,44,"460.27",601,306,18,"468.78",616,326,30,"465.27",576,375,47,"526.85",744,369,47,"536.19",801,369,12604
1,"IQUIQUE","IQUIQUE","IQRA ARABIAN BRITISH SCHOOL","HC - DIURNO","SUBVENC",14,"477.07","629.0","369.0",14,"475.57",618,329,14,"478.57",640,374,7,"464.29",620,374,11,"464.55",571,351,13,"536.85",667,418,13,"540",684,418,12762
1,"IQUIQUE","IQUIQUE","IQUIQUE YOUNG SCHOOL","HC - DIURNO","SUBVENC",16,"450.34","560.5","357.0",16,"471.25",601,340,16,"429.44",549,330,10,"469.60",595,326,9,"462.22",545,375,17,"525.12",752,435,17,"539.29",850,435,144
1,"IQUIQUE","IQUIQUE","LICEO ACADEMIA IQUIQUE","HC - DIURNO","SUBVENC",175,"595.21","815.5","438.5",175,"589.63",797,362,175,"600.80",834,438,77,"589.94",766,374,113,"591.65",809,309,176,"645.72",803,459,176,"653.55",850,459,132
1,"IQUIQUE","IQUIQUE","LICEO CIENTIFICO HUMANISTICO ATENEA","HC - DIURNO","SUBVENC",15,"423.50","555.5","290.0",15,"428.27",554,274,15,"418.73",557,306,7,"442.71",562,286,6,"447.83",517,328,15,"481.27",577,371,15,"488.73",608,371,134
1,"IQUIQUE","IQUIQUE","LICEO MARIA AUXILIADORA","HC - DIURNO","SUBVENC",60,"557.25","740.5","403.5",60,"553.45",775,329,60,"561.05",706,353,22,"516.59",664,387,46,"536.85",703,375,60,"573.05",793,423,60,"590.87",850,423,127
1,"IQUIQUE","IQUIQUE","LICEO PARTICULAR MIXTO ESCASCE","HC - DIURNO","SUBVENC",28,"455.66","599.0","333.0",28,"475.04",601,340,28,"436.29",597,259,18,"465.72",553,307,14,"434.29",580,309,30,"467.73",605,361,30,"479.53",673,361,131
1,"IQUIQUE","IQUIQUE","LICEO PRESIDENTE ANIBAL PINTO GARMENDIA","HC - DIURNO","SUBVENC",52,"521.20","672.5","368.0",52,"512.12",705,274,52,"530.29",713,374,25,"509.56",685,307,43,"512.02",616,328,54,"555.89",781,387,54,"573.48",850,387,12509
1,"IQUIQUE","IQUIQUE","LICEO SAMCA ARUMANTI","HC - DIURNO","SUBVENC",61,"532.51","641.5","362.5",61,"515.97",653,289,61,"549.05",656,353,31,"485.45",591,231,41,"522.93",647,407,62,"553.29",773,416,62,"568.87",850,416,12591
1,"IQUIQUE","IQUIQUE","LITTLE COLLEGE","HC - DIURNO","SUBVENC",27,"481.43","565.5","391.0",27,"488.15",639,362,27,"474.70",582,353,12,"508.42",646,286,21,"465.14",587,309,27,"543.48",713,408,27,"559.33",812,408,12504
1,"IQUIQUE","IQUIQUE","NORTH COLLEGE","HC - DIURNO","SUBVENC",21,"545.88","643.5","399.0",21,"526.29",653,389,21,"565.48",675,409,8,"490.25",583,374,16,"534.75",714,285,21,"528.29",692,379,21,"551.38",783,379,130
1,"IQUIQUE","ALTO HOSPICIO","LICEO LOS CONDORES","HC - DIURNO","SUBVENC",24,"489.42","584.5","349.0",24,"485.54",639,305,24,"493.29",589,393,12,"475.33",646,420,17,"467.94",563,375,27,"576.74",762,367,27,"588.78",812,367,12603
1,"IQUIQUE","ALTO HOSPICIO","LICEO PABLO NERUDA","HC - DIURNO","SUBVENC",11,"400.00","499.5","290.0",11,"400.55",554,231,11,"399.45",496,282,5,"429.60",553,326,4,"356.25",437,285,20,"469.05",515,414,20,"469.05",515,414,12719
1,"IQUIQUE","ALTO HOSPICIO","LICEO POLIVALENTE SAGRADO CORAZON DE HOSPICIO","HC - DIURNO","SUBVENC",107,"544.28","670.0","423.5",107,"537.02",695,381,107,"551.54",701,425,76,"531.43",780,387,83,"507.25",626,285,108,"582.89",789,453,108,"599.04",850,453,12650
1,"IQUIQUE","ALTO HOSPICIO","LICEO SUPERIOR DIEGO PORTALES","HC - DIURNO","SUBVENC",42,"402.57","582.5","274.0",42,"402.05",639,257,42,"403.10",611,219,37,"415.19",612,243,8,"400.75",481,285,57,"469.70",748,350,57,"488.75",850,350,12649
1,"TAMARUGAL","POZO ALMONTE","LICEO ALCALDE SERGIO GONZALEZ GUTIERREZ C-12","HC - DIURNO","MUNICIPAL",11,"478.95","591.5","361.0",11,"494.55",589,329,11,"463.36",607,330,7,"520.29",595,410,6,"482.17",545,375,11,"594.36",748,455,11,"613.91",850,455,191
1,"TAMARUGAL","PICA","LICEO PADRE ALBERTO HURTADO CRUCHAGA","HC - DIURNO","MUNICIPAL",14,"455.00","628.5","266.0",14,"454.36",633,226,14,"455.64",624,282,10,"482.70",603,387,9,"466.11",598,309,16,"550.63",711,425,16,"564",806,425,12551
2,"TOCOPILLA","TOCOPILLA","LICEO DOMINGO LATRILLE L.","HC - DIURNO","MUNICIPAL",44,"397.10","616.5","254.0",44,"370.75",582,226,44,"423.45",651,282,25,"399.72",603,264,21,"429.00",609,261,50,"510.60",766,369,50,"518.42",842,369,199
2,"TOCOPILLA","TOCOPILLA","COLEGIO SAGRADA FAMILIA","HC - DIURNO","SUBVENC",91,"515.49","686.5","369.5",91,"499.00",725,289,91,"531.99",727,393,42,"506.45",726,359,64,"493.16",690,375,93,"551.86",748,402,93,"568.43",823,402,208
2,"TOCOPILLA","MARIA ELENA","LICEO TEC. PROF. CIENT. HUM. MARIA ELENA","HC - DIURNO","MUNICIPAL",15,"537.07","683.5","423.5",15,"541.80",716,422,15,"532.33",651,409,14,"494.64",607,374,13,"518.92",682,351,15,"662.53",799,492,15,"695.4",850,492,211
2,"EL LOA","CALAMA","LICEO B-34 RADOMIRO TOMIC ROMERO","HC - DIURNO","MUNICIPAL",9,"396.67","573.0","313.5",9,"379.67",589,215,9,"413.67",557,306,6,"438.33",583,307,5,"415.80",563,261,21,"470.33",649,356,21,"516.14",850,356,12961
2,"EL LOA","CALAMA","LICEO ELEUTERIO RAMIREZ MOLINA","HC - DIURNO","MUNICIPAL",14,"406.43","504.0","275.5",14,"437.50",549,242,14,"375.36",471,234,10,"437.70",562,264,6,"406.17",481,285,19,"425.95",521,358,19,"466.79",669,358,10967
2,"EL LOA","CALAMA","LICEO FRANCISCO DE AGUIRRE (EX.B-8)","HC - DIURNO","MUNICIPAL",86,"406.48","516.5","220.5",86,"411.78",560,215,86,"401.19",564,226,50,"416.34",562,231,42,"388.81",529,214,104,"475.83",690,356,104,"498.56",818,356,218
2,"EL LOA","CALAMA","LICEO JORGE ALESSANDRI RODRIGUEZ","HC - DIURNO","MUNICIPAL",69,"438.11","599.5","268.5",69,"439.26",639,231,69,"436.96",601,234,48,"450.81",616,243,48,"426.79",563,261,74,"470.04",760,328,74,"489.42",850,328,10970
2,"EL LOA","CALAMA","LICEO LUIS CRUZ MARTINEZ","HC - DIURNO","MUNICIPAL",233,"556.10","735.0","343.5",233,"542.44",749,226,233,"569.75",817,330,91,"544.07",794,343,178,"536.74",778,309,238,"537.62",768,379,238,"561.51",850,379,217
2,"EL LOA","CALAMA","COLEGIO CHUQUICAMATA","HC - DIURNO","PAGADO",98,"570.21","726.5","362.0",98,"558.34",725,274,98,"582.09",834,374,51,"564.22",766,359,74,"557.24",690,375,98,"581.32",811,402,98,"588.5",850,402,257
2,"EL LOA","CALAMA","COLEGIO LEONARDO DA  VINCI","HC - DIURNO","PAGADO",25,"622.14","789.5","511.5",25,"611.76",762,503,25,"632.52",817,520,10,"634.60",751,539,16,"625.19",799,517,25,"584.60",803,449,25,"591.68",850,449,12829
2,"EL LOA","CALAMA","COLEGIO LICANCABUR","HC - DIURNO","PAGADO",10,"492.45","568.5","384.0",10,"509.10",613,438,10,"475.80",597,330,5,"532.80",620,399,8,"515.25",619,392,10,"568.60",723,457,10,"596.9",840,457,12867
2,"EL LOA","CALAMA","COLEGIO PARTICULAR SAN IGNACIO","HC - DIURNO","PAGADO",13,"609.27","668.0","503.5",13,"591.85",685,471,13,"626.69",713,526,4,"622.50",710,519,10,"609.10",697,545,14,"612.79",706,451,14,"649.79",787,451,12832
2,"EL LOA","CALAMA","LOESS SCHOOL","HC - DIURNO","PAGADO",13,"569.81","692.0","391.5",13,"598.54",725,381,13,"541.08",668,306,9,"527.00",794,307,11,"547.82",669,392,13,"599.46",732,464,13,"623.62",821,464,12876
2,"EL LOA","CALAMA","COLEGIO ADVENTISTA DE CALAMA","HC - DIURNO","SUBVENC",61,"442.93","570.5","297.5",61,"433.66",613,289,61,"452.20",627,306,35,"431.37",549,286,33,"444.48",567,261,66,"541.00",748,377,66,"552.48",824,377,253
2,"EL LOA","CALAMA","COLEGIO CALAMA","HC - DIURNO","SUBVENC",25,"421.62","607.5","320.0",25,"442.28",695,329,25,"400.96",557,234,23,"453.00",674,243,17,"417.59",584,261,28,"490.32",641,354,28,"502.61",768,354,12823
2,"EL LOA","CALAMA","COLEGIO ECOLOGICO MONTESSORI","HC - DIURNO","SUBVENC",33,"493.68","634.5","368.5",33,"498.15",613,372,33,"489.21",668,306,16,"515.31",659,326,24,"484.13",584,285,33,"539.48",700,404,33,"561.06",778,404,12838
2,"EL LOA","CALAMA","COLEGIO JUAN PABLO II","HC - DIURNO","SUBVENC",87,"547.61","682.0","375.5",87,"545.78",725,362,87,"549.45",727,353,54,"551.59",780,410,60,"534.10",686,351,87,"549.22",758,425,87,"568.84",850,425,10962
2,"EL LOA","CALAMA","COLEGIO NUESTRA SEÑORA DE AYQUINA","HC - DIURNO","SUBVENC",59,"516.96","664.0","368.0",59,"529.97",749,362,59,"503.95",675,234,25,"581.32",710,479,40,"502.40",609,309,60,"585.55",770,449,60,"598.82",834,449,254
2,"EL LOA","CALAMA","COLEGIO PADRE ALBERTO HURTADO","HC - DIURNO","SUBVENC",36,"530.36","673.0","377.5",36,"523.11",677,381,36,"537.61",713,374,17,"558.53",726,326,22,"524.14",682,351,38,"500.11",725,387,38,"505.34",783,387,12851
2,"EL LOA","CALAMA","COLEGIO PART. EJERCITO DE SALVACION","HC - DIURNO","SUBVENC",39,"479.73","605.5","347.5",39,"488.26",594,381,39,"471.21",617,306,21,"539.33",628,430,24,"487.46",619,309,40,"517.28",738,393,40,"554",850,393,255
2,"EL LOA","CALAMA","COLEGIO SAN NICOLAS","HC - DIURNO","SUBVENC",46,"557.01","637.5","422.5",46,"552.00",669,444,46,"562.02",681,393,25,"559.04",680,387,33,"592.42",708,490,46,"539.39",734,418,46,"553.76",825,418,12853
2,"EL LOA","CALAMA","INSTITUTO OBISPO SILVA LEZAETA","HC - DIURNO","SUBVENC",91,"542.02","752.0","411.5",91,"536.49",736,352,91,"547.55",768,374,39,"554.05",743,387,67,"507.99",724,328,88,"532.60",795,348,88,"545.05",850,348,256
2,"EL LOA","SAN PEDRO DE ATACAMA","LICEO AGROPECUARIO LIKAN ANTAI C-30","HC - DIURNO","MUNICIPAL",4,"446.88","493.5","397.0",4,"455.75",496,372,4,"438.00",496,330,4,"415.00",514,237,1,"351.00",351,351,5,"460.80",528,393,5,"460.8",528,393,12842
2,"ANTOFAGASTA","ANTOFAGASTA","LICEO ANDRES SABELLA","HC - DIURNO","MUNICIPAL",135,"494.85","686.5","299.5",135,"481.61",677,257,135,"508.10",751,259,39,"445.85",735,286,112,"476.54",672,285,136,"608.74",811,425,136,"619.33",850,425,304
2,"ANTOFAGASTA","ANTOFAGASTA","LICEO B-13 DOMINGO HERRERA RIVERA","HC - DIURNO","MUNICIPAL",194,"473.79","678.0","292.0",194,"476.54",725,231,194,"471.04",706,226,74,"476.27",603,264,142,"474.94",737,235,204,"560.25",797,391,204,"576.56",850,391,287
2,"ANTOFAGASTA","ANTOFAGASTA","LICEO CIENTIFICO HUMANISTA LA CHIMBA","HC - DIURNO","MUNICIPAL",49,"459.86","596.5","262.0",49,"469.94",633,242,49,"449.78",582,259,30,"488.57",650,286,20,"440.70",567,261,54,"526.91",725,391,54,"531.17",752,391,31343
2,"ANTOFAGASTA","ANTOFAGASTA","LICEO LA PORTADA A-22","HC - DIURNO","MUNICIPAL",12,"409.92","519.5","246.0",12,"413.08",549,210,12,"406.75",568,259,4,"447.25",525,374,10,"366.30",539,224,19,"491.21",672,399,19,"546.53",850,399,286
2,"ANTOFAGASTA","ANTOFAGASTA","LICEO MARIO BAHAMONDE SILVA","HC - DIURNO","MUNICIPAL",69,"417.28","595.5","280.5",69,"425.33",613,231,69,"409.23",624,211,34,"428.71",579,286,52,"405.56",534,224,95,"474.12",717,344,95,"492.35",850,344,284
2,"ANTOFAGASTA","ANTOFAGASTA","LICEO MARTA NAREA DIAZ","HC - DIURNO","MUNICIPAL",69,"438.64","587.0","305.0",69,"448.19",653,257,69,"429.10",568,259,29,"451.90",591,231,49,"437.04",576,230,82,"482.99",711,363,82,"498.34",819,363,285
2,"ANTOFAGASTA","ANTOFAGASTA","LICEO MAYOR GENERAL OSCAR BONILLA BRAD.","HC - DIURNO","MUNICIPAL",11,"430.64","575.0","297.0",11,"427.09",601,220,11,"434.18",579,226,7,"457.86",591,307,5,"380.40",472,235,14,"453.43",523,387,14,"469.64",589,387,10968
2,"ANTOFAGASTA","ANTOFAGASTA","COLEGIO CHAÑARES","HC - DIURNO","PAGADO",34,"546.15","683.5","377.5",34,"546.91",677,362,34,"545.38",701,393,24,"528.33",659,387,18,"506.17",633,351,35,"525.86",727,406,35,"541.23",850,406,12846
2,"ANTOFAGASTA","ANTOFAGASTA","COLEGIO INTERNACIONAL ANTOFAGASTA","HC - DIURNO","PAGADO",27,"659.89","783.0","581.0",27,"651.85",749,503,27,"667.93",850,531,10,"679.20",794,558,17,"684.24",799,619,27,"653.30",789,523,27,"685.96",850,523,12884
2,"ANTOFAGASTA","ANTOFAGASTA","COLEGIO PARTICULAR ANTOFAGASTA","HC - DIURNO","PAGADO",42,"537.00","690.0","411.5",42,"528.81",736,352,42,"545.19",695,425,26,"516.65",680,343,25,"497.56",644,392,42,"557.45",760,393,42,"590.14",850,393,364
2,"ANTOFAGASTA","ANTOFAGASTA","COLEGIO SAN LUIS ANTOFAGASTA","HC - DIURNO","PAGADO",67,"624.63","745.0","471.0",67,"608.87",762,416,67,"640.40",768,480,17,"656.29",836,503,57,"601.84",778,490,67,"588.45",783,459,67,"595.75",839,459,357
2,"ANTOFAGASTA","ANTOFAGASTA","COLEGIO SAN PATRICIO","HC - DIURNO","PAGADO",23,"547.50","654.0","444.5",23,"555.87",661,452,23,"539.13",675,425,8,"547.88",620,485,19,"522.68",653,407,23,"595.83",760,449,23,"616.3",850,449,12966
2,"ANTOFAGASTA","ANTOFAGASTA","COLEGIO UNIVERSITARIO ANTONIO RENDIC","HC - DIURNO","PAGADO",44,"636.67","728.5","480.0",44,"623.98",786,389,44,"649.36",768,545,16,"627.25",751,430,32,"656.00",778,450,44,"595.05",754,437,44,"608.48",818,437,12864
2,"ANTOFAGASTA","ANTOFAGASTA","HRVATSKA SKOLA SAN ESTEBAN (EX.COL.YUGOSLAVO)","HC - DIURNO","PAGADO",79,"657.11","776.5","567.5",79,"647.84",829,531,79,"666.38",834,536,26,"665.15",836,549,62,"664.44",778,545,79,"616.01",791,453,79,"625.29",837,453,366
2,"ANTOFAGASTA","ANTOFAGASTA","INSTITUTO CHILENO NORTEAMERICANO","HC - DIURNO","PAGADO",57,"510.69","634.5","271.5",57,"496.98",653,317,57,"524.40",651,226,29,"512.31",696,237,38,"506.71",690,392,57,"501.32",694,365,57,"521.05",799,365,355
