ORD;REGION;PROV;COMUNA;UNIDAD_EDUCATIVA;RAMA_EDUCACIONAL;DEP;L_M_N;L_M_PROMEDIO;L_M_MAXIMO;L_M_MINIMO;L_N;L_PROMEDIO;L_MAXIMO;L_MINIMO;M_N;M_PROMEDIO;M_MAXIMO;M_MINIMO;H_CS_N;H_CS_PROMEDIO;H_CS_MAXIMO;H_CS_MINIMO;C_N;C_PROMEDIO;C_MAXIMO;C_MINIMO;NOTAS_N;NOTAS_PROMEDIO;NOTAS_MAXIMO;NOTAS_MINIMO;RANK_N;RANK_PROMEDIO;RANK_MAXIMO;RANK_MINIMO;RBD
1;15;ARICA;ARICA;LICEO AGRICOLA JOSE ABELARDO NUÑEZ MURUA;AGRICOLA;MUNICIPAL;12;444.54;534.0;304.0;12;432.83;508;215;12;456.25;560;259;9;418.78;519;226;6;382.83;472;285;16;555.44;774;372;16;616.5;850;372;32
2;15;ARICA;ARICA;LICEO COMERCIAL ARICA;COMERCIAL;MUNICIPAL;4;358.00;386.0;302.0;4;399.00;508;274;4;317.00;374;234;3;452.33;479;399;2;373.50;462;285;5;572.80;674;427;5;574;679;427;12610
3;15;ARICA;ARICA;LICEO COMERCIAL ARICA;COMERCIAL;MUNICIPAL;69;415.22;609.5;274.0;69;418.01;625;257;69;412.42;594;234;43;405.53;535;286;33;407.45;539;285;79;594.28;754;458;79;613.18;825;458;12610
4;15;ARICA;ARICA;LICEO PABLO NERUDA;INDUSTRIAL;MUNICIPAL;43;407.66;589.0;245.0;43;404.02;633;231;43;411.30;571;203;26;392.96;570;185;23;436.83;576;261;55;549.00;782;376;55;578;850;376;10911
5;15;ARICA;ARICA;LICEO PABLO NERUDA;TECNICA Y SERVICIOS;MUNICIPAL;46;393.01;518.5;231.5;46;411.91;565;237;46;374.11;509;226;6;443.50;545;326;46;387.91;524;224;54;535.07;749;352;54;553;850;352;10911
6;15;ARICA;ARICA;LICEO POLITECNICO ANTONIO VARAS DE LA BARRA;INDUSTRIAL;MUNICIPAL;40;426.88;557.0;317.5;40;420.90;565;231;40;432.85;579;259;33;418.48;583;286;21;446.00;534;351;47;561.91;758;389;47;588.4;850;389;7
7;15;ARICA;ARICA;LICEO POLITECNICO ANTONIO VARAS DE LA BARRA;TECNICA Y SERVICIOS;MUNICIPAL;42;396.43;536.5;283.0;42;386.60;537;231;42;406.26;557;226;34;368.79;539;243;11;438.27;567;261;50;553.00;737;335;50;579.06;841;335;7
8;15;ARICA;ARICA;LICEO POLITECNICO ANTONIO VARAS DE LA BARRA;COMERCIAL;MUNICIPAL;37;402.93;528.0;281.5;37;407.49;576;237;37;398.38;515;259;35;407.37;545;264;14;386.36;481;261;40;571.58;756;391;40;591.45;839;391;7
9;15;ARICA;ARICA;LICEO POLITECNICO ARICA  ;TECNICA Y SERVICIOS;MUNICIPAL;8;410.44;478.5;347.5;8;432.25;496;389;8;388.63;471;306;6;440.50;491;387;3;405.67;450;375;9;537.44;693;409;9;547.22;751;409;1
10;15;ARICA;ARICA;LICEO POLITECNICO ARICA  ;TECNICA Y SERVICIOS;MUNICIPAL;30;370.65;471.0;250.5;30;352.20;471;220;30;389.10;520;259;24;346.92;457;220;4;418.75;450;351;35;578.26;819;399;35;612.46;850;399;1
11;15;ARICA;ARICA;LICEO POLITECNICO ARICA  ;INDUSTRIAL;MUNICIPAL;1;456.50;456.5;456.5;1;452.00;452;452;1;461.00;461;461;1;603.00;603;603;;;;;1;631.00;631;631;1;726;726;726;1
12;15;ARICA;ARICA;LICEO POLITECNICO ARICA  ;INDUSTRIAL;MUNICIPAL;28;408.07;560.0;305.5;28;403.43;549;274;28;412.71;571;259;21;427.81;553;237;14;371.00;504;285;31;568.61;693;407;31;601.58;776;407;1
13;15;ARICA;ARICA;LICEO TECNICO PROFESIONAL DE ADULTOS PUKARA;AGRICOLA;MUNICIPAL;9;354.50;448.0;261.5;9;358.56;471;257;9;350.44;425;234;8;407.63;508;208;;;;;13;558.46;678;350;13;614.15;829;350;12696
14;15;ARICA;ARICA;COLEGIO LEONARDO DA VINCI;INDUSTRIAL;SUBVENC;9;386.72;476.5;305.5;9;349.00;438;274;9;424.44;515;259;8;375.75;471;307;1;351.00;351;351;13;509.15;650;399;13;560.31;850;399;12630
15;15;ARICA;ARICA;COLEGIO LEONARDO DA VINCI;TECNICA Y SERVICIOS;SUBVENC;11;371.18;469.5;281.5;11;360.64;452;257;11;381.73;509;282;9;377.56;464;307;2;363.00;375;351;16;515.50;650;368;16;554.81;821;368;12630
16;15;ARICA;ARICA;COLEGIO MIRAMAR;COMERCIAL;SUBVENC;14;425.68;534.0;303.5;14;411.36;514;317;14;440.00;604;226;11;399.55;549;307;7;380.14;534;261;16;505.19;668;409;16;525.31;769;409;12716
17;15;ARICA;ARICA;COLEGIO MIRAMAR;TECNICA Y SERVICIOS;SUBVENC;54;396.21;537.0;281.5;54;390.69;543;220;54;401.74;531;203;25;371.80;471;243;38;383.18;524;219;71;512.85;670;380;71;533.52;769;380;12716
18;15;ARICA;ARICA;COLEGIO SAUCACHE;COMERCIAL;SUBVENC;26;403.62;499.5;290.0;26;402.00;503;274;26;405.23;503;306;20;406.45;508;286;8;375.13;422;328;26;480.38;617;389;26;501.35;743;389;12547
19;15;ARICA;ARICA;COLEGIO TECNOLOGICO DE ARICA;INDUSTRIAL;SUBVENC;11;412.82;524.0;287.0;11;393.64;484;289;11;432.00;571;234;8;369.63;464;286;6;404.83;510;285;17;516.06;703;352;17;571.65;850;352;40230
20;15;ARICA;ARICA;LICEO AGRICOLA TEC. PROF. PADRE FCO. NAPOLITANO;AGRICOLA;SUBVENC;6;413.50;503.0;341.0;6;398.33;491;257;6;428.67;515;353;3;405.00;457;359;3;452.00;497;422;11;537.91;697;389;11;569.27;796;389;12658
21;15;ARICA;ARICA;LICEO DOMINGO SANTA MARIA;MARITIMA;SUBVENC;32;419.89;539.0;278.0;32;400.41;554;226;32;439.38;582;259;26;415.58;570;286;11;408.64;504;285;34;567.21;752;389;34;646.76;850;389;52
22;15;ARICA;ARICA;LICEO DOMINGO SANTA MARIA;COMERCIAL;SUBVENC;55;411.86;586.5;293.5;55;393.85;633;237;55;429.87;553;234;35;377.06;579;237;25;422.60;539;309;57;497.67;625;348;57;510.58;691;348;52
23;15;ARICA;ARICA;LICEO TECNICO PROFESIONAL DE ADULTOS PUKARA;TECNICA Y SERVICIOS;SUBVENC;4;347.38;430.5;266.5;4;360.00;508;274;4;334.75;374;259;4;337.50;457;243;;;;;5;525.60;595;452;5;531.4;614;452;12696
24;15;ARICA;ARICA;LICEO TECNICO PROFESIONAL DE ADULTOS PUKARA;INDUSTRIAL;SUBVENC;19;396.32;528.0;317.5;19;405.84;537;242;19;386.79;560;226;19;473.79;579;387;;;;;26;565.54;811;368;26;584.12;850;368;12696
25;15;PARINACOTA;PUTRE;LICEO INTEGRADO GRANADEROS C-3;TECNICA Y SERVICIOS;MUNICIPAL;6;387.25;463.5;308.0;6;347.50;477;242;6;427.00;488;353;4;391.00;471;286;1;309.00;309;309;6;568.50;688;441;6;617.67;813;441;78
26;1;IQUIQUE;IQUIQUE;COLEGIO DEPORTIVO CODE;TECNICA Y SERVICIOS;MUNICIPAL;12;390.38;555.5;286.0;12;394.67;554;242;12;386.08;557;330;5;404.80;514;264;13;396.46;584;214;19;490.84;707;385;19;502.95;822;385;12683
27;1;IQUIQUE;IQUIQUE;COLEGIO DEPORTIVO CODE;COMERCIAL;MUNICIPAL;3;324.67;341.0;308.0;3;262.67;289;242;3;386.67;393;374;3;362.33;387;326;1;261.00;261;261;9;478.22;601;419;9;486.89;659;419;12683
28;1;IQUIQUE;IQUIQUE;INSTITUTO DEL MAR ALMIRANTE CARLOS CONDELL;INDUSTRIAL;MUNICIPAL;26;401.62;522.0;274.0;26;403.27;571;226;26;399.96;553;259;20;418.65;549;286;11;409.27;524;285;41;523.71;650;380;41;571.66;817;380;106
29;1;IQUIQUE;IQUIQUE;INSTITUTO DEL MAR ALMIRANTE CARLOS CONDELL;MARITIMA;MUNICIPAL;10;429.25;531.5;327.0;10;426.00;537;289;10;432.50;526;282;9;426.89;525;343;4;445.25;534;351;16;506.50;660;387;16;535.5;773;387;106
30;1;IQUIQUE;IQUIQUE;LICEO ELENA DUVAUCHELLE  CABEZON A-11;COMERCIAL;MUNICIPAL;6;417.25;492.0;333.5;6;399.50;464;274;6;435.00;526;353;3;350.00;420;243;3;359.00;375;351;6;494.33;562;450;6;506.17;605;450;109
31;1;IQUIQUE;IQUIQUE;LICEO ELENA DUVAUCHELLE  CABEZON A-11;TECNICA Y SERVICIOS;MUNICIPAL;6;434.83;547.0;311.0;6;462.33;606;340;6;407.33;503;282;6;478.67;553;326;1;285.00;285;285;7;513.00;641;382;7;538;722;382;109
32;1;IQUIQUE;IQUIQUE;LICEO ELENA DUVAUCHELLE  CABEZON A-11;INDUSTRIAL;MUNICIPAL;5;396.40;438.5;305.5;5;370.40;438;237;5;422.40;488;374;;;;;6;420.67;510;285;8;508.88;621;411;8;525.38;679;411;109
33;1;IQUIQUE;IQUIQUE;LICEO INSTITUTO COMERCIAL DE IQUIQUE A-6;COMERCIAL;MUNICIPAL;3;374.67;452.5;283.0;3;418.33;471;340;3;331.00;461;226;2;389.00;471;307;2;398.50;422;375;6;592.33;693;529;6;627.67;764;542;97
34;1;IQUIQUE;IQUIQUE;LICEO INSTITUTO COMERCIAL DE IQUIQUE A-6 ;COMERCIAL;MUNICIPAL;48;443.01;591.0;320.5;48;446.02;633;289;48;440.00;549;234;38;425.37;562;286;19;396.37;504;235;60;539.95;741;382;60;558.95;830;382;97
