ORD;REGION;PROV;COMUNA;UNIDAD_EDUCATIVA;RAMA_EDUCACIONAL;DEP;L_M_N;L_M_PROMEDIO;L_M_MAXIMO;L_M_MINIMO;L_N;L_PROMEDIO;L_MAXIMO;L_MINIMO;M_N;M_PROMEDIO;M_MAXIMO;M_MINIMO;H_CS_N;H_CS_PROMEDIO;H_CS_MAXIMO;H_CS_MINIMO;C_N;C_PROMEDIO;C_MAXIMO;C_MINIMO;NOTAS_N;NOTAS_PROMEDIO;NOTAS_MAXIMO;NOTAS_MINIMO;RANK_N;RANK_PROMEDIO;RANK_MAXIMO;RANK_MINIMO;RBD
35;1;IQUIQUE;IQUIQUE;LICEO LUIS CRUZ MARTINEZ ;TECNICA Y SERVICIOS;MUNICIPAL;43;406.21;523.0;269.5;43;427.28;589;274;43;385.14;520;234;5;420.00;471;326;43;382.95;510;224;47;557.36;735;309;47;579.36;818;309;124
36;1;IQUIQUE;IQUIQUE;LICEO LUIS CRUZ MARTINEZ ;INDUSTRIAL;MUNICIPAL;51;440.08;584.5;289.5;51;433.76;613;226;51;446.39;614;259;14;453.79;628;326;44;454.25;595;230;67;553.40;697;333;67;602.48;836;333;124
37;1;IQUIQUE;IQUIQUE;LICEO POLIT. JOSE GUTIERREZ DE LA FUENTE ;TECNICA Y SERVICIOS;MUNICIPAL;17;363.24;450.5;234.0;17;364.18;444;242;17;362.29;471;226;15;350.13;471;237;1;437.00;437;437;20;539.00;729;376;20;571.3;850;376;108
38;1;IQUIQUE;IQUIQUE;LICEO POLIT. JOSE GUTIERREZ DE LA FUENTE ;INDUSTRIAL;MUNICIPAL;9;431.78;519.5;334.5;9;401.89;503;231;9;461.67;536;409;5;332.40;440;264;6;406.50;534;261;15;504.93;713;378;15;531.6;835;378;108
39;1;IQUIQUE;IQUIQUE;LICEO TECNICO PROFESIONAL DE ADULTOS;TECNICA Y SERVICIOS;MUNICIPAL;8;389.50;467.0;297.5;8;385.13;496;242;8;393.88;450;330;7;434.57;535;286;2;400.50;450;351;12;637.58;754;480;12;708.5;850;480;40429
40;1;IQUIQUE;IQUIQUE;LICEO TECNICO PROFESIONAL DE ADULTOS;INDUSTRIAL;MUNICIPAL;1;402.50;402.5;402.5;1;452.00;452;452;1;353.00;353;353;;;;;1;351.00;351;351;1;480.00;480;480;1;480;480;480;40429
41;1;IQUIQUE;IQUIQUE;COLEGIO DIOCESANO OBISPO LABBE;INDUSTRIAL;SUBVENC;23;438.11;557.0;289.5;23;424.91;594;226;23;451.30;564;353;17;455.47;595;307;14;434.21;517;285;27;478.26;599;380;27;496.26;719;380;12518
42;1;IQUIQUE;IQUIQUE;COLEGIO DIOCESANO OBISPO LABBE;COMERCIAL;SUBVENC;11;468.18;595.5;389.0;11;461.36;571;317;11;475.00;620;306;9;480.00;659;359;8;452.75;529;351;12;534.75;737;399;12;543.58;774;399;12518
43;1;IQUIQUE;IQUIQUE;COLEGIO INGLES;COMERCIAL;SUBVENC;91;477.59;616.5;268.0;91;488.55;639;305;91;466.63;594;196;62;489.27;595;286;40;422.35;598;235;100;499.16;725;331;100;511.66;821;331;12631
44;1;IQUIQUE;IQUIQUE;COLEGIO INGLES;INDUSTRIAL;SUBVENC;41;480.61;636.5;307.5;41;480.78;625;340;41;480.44;648;234;14;491.93;603;326;36;469.08;613;328;50;544.04;754;374;50;571.06;850;374;12631
45;1;IQUIQUE;IQUIQUE;LICEO TECNICO PROF. DE ADULTOS CORESOL;INDUSTRIAL;SUBVENC;28;377.57;561.0;299.5;28;360.29;613;231;28;394.86;509;259;26;445.73;583;237;2;318.00;375;261;35;538.54;749;393;35;546.94;808;393;12730
46;1;IQUIQUE;IQUIQUE;LITTLE COLLEGE;COMERCIAL;SUBVENC;9;394.44;452.5;331.5;9;410.00;496;340;9;378.89;488;282;7;429.29;530;264;8;367.88;462;235;11;459.36;533;370;11;459.64;536;370;12504
47;1;IQUIQUE;IQUIQUE;LITTLE COLLEGE;TECNICA Y SERVICIOS;SUBVENC;15;363.20;507.5;282.0;15;351.67;484;210;15;374.73;531;219;10;343.60;471;226;5;382.60;437;351;19;522.74;611;368;19;549.05;710;368;12504
48;1;IQUIQUE;ALTO HOSPICIO;LICEO S.S. JUAN PABLO II;TECNICA Y SERVICIOS;MUNICIPAL;7;397.64;504.0;329.0;7;393.57;459;305;7;401.71;549;330;2;353.00;420;286;5;351.00;490;230;12;456.33;623;339;12;468.75;693;339;10917
49;1;IQUIQUE;ALTO HOSPICIO;LICEO S.S. JUAN PABLO II;INDUSTRIAL;MUNICIPAL;2;462.25;483.5;441.0;2;489.50;508;471;2;435.00;496;374;2;543.50;562;525;2;539.00;539;539;11;430.27;656;329;11;438.27;744;329;10917
50;1;IQUIQUE;ALTO HOSPICIO;COLEGIO KRONOS SCHOOL;INDUSTRIAL;SUBVENC;2;487.00;501.0;473.0;2;519.50;531;508;2;454.50;471;438;2;508.50;514;503;1;437.00;437;437;7;443.43;509;376;7;534.71;729;376;12602
51;1;IQUIQUE;ALTO HOSPICIO;COLEGIO KRONOS SCHOOL;COMERCIAL;SUBVENC;7;404.64;517.0;329.5;7;410.29;520;305;7;399.00;526;330;6;461.33;508;399;1;375.00;375;375;12;459.17;603;362;12;462.08;617;362;12602
52;1;IQUIQUE;ALTO HOSPICIO;COLEGIO METODISTA ROBERT JOHNSON;TECNICA Y SERVICIOS;SUBVENC;51;403.84;560.5;277.5;51;411.69;601;231;51;396.00;564;203;26;383.38;519;220;32;415.50;549;235;68;526.81;776;407;68;535.4;850;407;12534
53;1;IQUIQUE;ALTO HOSPICIO;COLEGIO METODISTA ROBERT JOHNSON;INDUSTRIAL;SUBVENC;28;420.46;517.5;311.5;28;424.86;520;305;28;416.07;531;259;22;426.68;612;264;18;417.50;504;230;43;454.95;656;366;43;490.05;850;366;12534
54;1;IQUIQUE;ALTO HOSPICIO;COLEGIO METODISTA WILLIAM TAYLOR;TECNICA Y SERVICIOS;SUBVENC;25;385.64;526.5;293.5;25;407.72;582;257;25;363.56;560;234;22;409.91;508;226;4;332.75;375;230;30;550.90;733;431;30;579.2;850;431;12566
55;1;IQUIQUE;ALTO HOSPICIO;COLEGIO METODISTA WILLIAM TAYLOR;COMERCIAL;SUBVENC;16;426.91;548.5;283.5;16;425.69;582;237;16;428.13;526;330;16;428.88;545;326;7;362.00;450;261;18;610.11;782;423;18;662.39;850;423;12566
56;1;IQUIQUE;ALTO HOSPICIO;COLEGIO METODISTA WILLIAM TAYLOR;INDUSTRIAL;SUBVENC;23;406.39;542.5;265.5;23;400.04;576;274;23;412.74;549;226;21;392.14;570;264;5;445.00;534;261;33;521.64;703;407;33;555.18;840;407;12566
57;1;IQUIQUE;ALTO HOSPICIO;COLEGIO SAN PEDRO;TECNICA Y SERVICIOS;SUBVENC;8;367.44;445.5;269.5;8;375.13;430;305;8;359.75;461;226;7;379.43;440;326;1;375.00;375;375;13;496.69;558;403;13;582.92;788;403;12655
58;1;IQUIQUE;ALTO HOSPICIO;COLEGIO SAN PEDRO;INDUSTRIAL;SUBVENC;14;369.64;481.0;282.0;14;372.00;508;242;14;367.29;503;226;14;414.21;525;243;;;;;23;440.13;539;397;23;462.3;682;397;12655
59;1;IQUIQUE;ALTO HOSPICIO;COLEGIO SAN PEDRO;COMERCIAL;SUBVENC;16;408.25;534.5;302.0;16;420.31;520;274;16;396.19;549;282;15;415.13;530;237;5;406.60;472;351;18;512.61;676;378;18;565.11;850;378;12655
60;1;IQUIQUE;ALTO HOSPICIO;LICEO ACADEMIA NACIONAL ;TECNICA Y SERVICIOS;SUBVENC;17;408.79;527.5;305.5;17;409.18;503;289;17;408.41;564;219;11;422.09;514;243;10;405.50;584;309;20;509.90;705;346;20;529.35;850;346;12686
61;1;IQUIQUE;ALTO HOSPICIO;LICEO ACADEMIA NACIONAL ;TECNICA Y SERVICIOS;SUBVENC;17;383.76;521.5;285.5;17;389.76;582;231;17;377.76;480;219;15;397.67;558;231;5;374.00;437;309;22;574.91;729;423;22;583.82;765;423;12686
62;1;IQUIQUE;ALTO HOSPICIO;LICEO ACADEMIA NACIONAL-COMERCIAL NOCTURNO;COMERCIAL;SUBVENC;4;414.25;452.5;372.5;4;404.75;444;352;4;423.75;488;353;4;451.50;508;387;;;;;7;571.57;723;380;7;589.29;775;380;12686
63;1;IQUIQUE;ALTO HOSPICIO;LICEO LOS CONDORES;COMERCIAL;SUBVENC;26;425.92;566.5;341.0;26;422.00;613;289;26;429.85;520;330;23;412.78;553;286;8;428.50;490;392;32;518.25;654;405;32;543.91;759;405;12603
64;1;IQUIQUE;ALTO HOSPICIO;LICEO LOS CONDORES;TECNICA Y SERVICIOS;SUBVENC;44;418.63;571.0;310.5;44;410.30;633;274;44;426.95;564;259;25;395.36;545;264;28;416.14;559;230;54;564.72;758;411;54;580.11;836;411;12603
65;1;IQUIQUE;ALTO HOSPICIO;LICEO POLIVALENTE SAGRADO CORAZON DE HOSPICIO;COMERCIAL;SUBVENC;58;462.53;614.0;317.5;58;455.29;618;305;58;469.76;627;282;45;474.56;633;264;22;440.09;629;309;65;549.32;752;425;65;579.45;850;425;12650
66;1;IQUIQUE;ALTO HOSPICIO;LICEO POLIVALENTE SAGRADO CORAZON DE HOSPICIO;TECNICA Y SERVICIOS;SUBVENC;23;467.20;576.5;380.0;23;476.87;633;352;23;457.52;536;353;17;428.76;519;237;7;444.00;553;309;31;530.52;725;437;31;570.87;850;437;12650
67;1;IQUIQUE;ALTO HOSPICIO;LICEO POLIVALENTE SAGRADO CORAZON DE HOSPICIO;INDUSTRIAL;SUBVENC;64;456.06;584.0;305.0;64;441.38;606;257;64;470.75;604;282;51;436.82;628;237;29;456.31;567;351;72;477.36;617;364;72;489.65;732;364;12650
68;1;TAMARUGAL;POZO ALMONTE;LICEO ALCALDE SERGIO GONZALEZ GUTIERREZ C-12;TECNICA Y SERVICIOS;MUNICIPAL;17;390.82;489.5;269.5;17;417.82;549;305;17;363.82;520;234;7;440.29;508;359;14;391.14;481;224;23;550.39;721;399;23;574.43;843;399;191
69;1;TAMARUGAL;POZO ALMONTE;LICEO ALCALDE SERGIO GONZALEZ GUTIERREZ C-12 ;INDUSTRIAL;MUNICIPAL;18;376.08;476.0;213.0;18;373.72;543;215;18;378.44;488;211;17;392.18;503;237;5;393.40;450;328;21;485.81;652;387;21;524.38;833;387;191
70;1;TAMARUGAL;POZO ALMONTE;LICEO ALCALDE SERGIO GONZALEZ GUTIERREZ C-12 ;COMERCIAL;MUNICIPAL;15;420.20;554.5;293.5;15;441.47;613;305;15;398.93;531;282;14;416.86;558;243;1;328.00;328;328;19;546.37;739;352;19;574.37;850;352;191
71;1;TAMARUGAL;CAMIÑA;LICEO CAMIÑA;INDUSTRIAL;MUNICIPAL;5;409.40;462.5;307.5;5;417.80;484;372;5;401.00;503;234;5;468.20;579;387;;;;;5;443.60;566;358;5;451.6;606;358;12759
72;1;TAMARUGAL;CAMIÑA;LICEO CAMIÑA;COMERCIAL;MUNICIPAL;3;404.00;444.0;372.5;3;409.33;438;352;3;398.67;450;353;3;401.33;430;387;2;436.00;450;422;4;640.50;699;562;4;720;809;599;12759
73;1;TAMARUGAL;COLCHANE;LICEO TECNICO PROFESIONAL DE COLCHANE;TECNICA Y SERVICIOS;MUNICIPAL;3;366.33;448.5;289.5;3;338.00;459;226;3;394.67;438;353;3;395.00;485;326;;;;;4;569.00;713;499;4;610.25;831;502;178
74;1;TAMARUGAL;COLCHANE;LICEO TECNICO PROFESIONAL DE COLCHANE;INDUSTRIAL;MUNICIPAL;2;339.50;393.5;285.5;2;325.50;362;289;2;353.50;425;282;2;452.00;464;440;;;;;2;501.00;515;487;2;507;527;487;178
75;1;TAMARUGAL;HUARA;LICEO HUARA;COMERCIAL;MUNICIPAL;13;385.73;474.0;284.0;13;372.15;464;215;13;399.31;496;282;10;401.20;497;264;5;364.80;437;309;17;577.59;705;423;17;591.76;740;423;161
76;1;TAMARUGAL;PICA;LICEO PADRE ALBERTO HURTADO CRUCHAGA;COMERCIAL;MUNICIPAL;7;387.50;503.0;290.0;7;388.86;503;274;7;386.14;503;306;7;399.14;491;264;;;;;8;550.88;733;403;8;561.13;773;403;12551
77;1;TAMARUGAL;PICA;LICEO PADRE ALBERTO HURTADO CRUCHAGA;AGRICOLA;MUNICIPAL;8;431.06;477.5;390.5;8;442.38;477;381;8;419.75;496;353;4;418.00;535;286;4;407.25;481;351;9;514.78;749;378;9;536.56;850;378;12551
78;2;TOCOPILLA;TOCOPILLA;LICEO POLITECNICO DIEGO PORTALES PALAZUELOS;TECNICA Y SERVICIOS;MUNICIPAL;7;403.79;497.0;285.5;7;388.71;508;257;7;418.86;503;282;7;399.71;558;307;1;309.00;309;309;6;569.50;650;437;6;582.17;673;437;200
79;2;TOCOPILLA;TOCOPILLA;LICEO POLITECNICO DIEGO PORTALES PALAZUELOS ;COMERCIAL;MUNICIPAL;12;427.71;548.0;320.0;12;423.58;582;237;12;431.83;520;259;12;444.25;583;307;;;;;14;564.71;731;409;14;594.57;840;409;200
80;2;TOCOPILLA;TOCOPILLA;LICEO POLITECNICO DIEGO PORTALES PALAZUELOS ;INDUSTRIAL;MUNICIPAL;4;378.13;465.5;278.0;4;345.25;416;274;4;411.00;515;282;1;307.00;307;307;3;416.67;504;309;7;460.57;589;276;7;474.14;640;276;200
81;2;TOCOPILLA;MARIA ELENA;LICEO TEC. PROF. CIENT. HUM. MARIA ELENA;INDUSTRIAL;MUNICIPAL;21;392.62;543.0;291.5;21;371.19;571;231;21;414.05;515;211;15;404.93;570;237;8;414.00;462;309;25;578.84;680;468;25;599.24;748;468;211
82;2;TOCOPILLA;MARIA ELENA;LICEO TEC. PROF. CIENT. HUM. MARIA ELENA;COMERCIAL;MUNICIPAL;8;420.25;508.5;281.5;8;421.50;520;329;8;419.00;520;234;7;407.14;519;243;2;442.50;510;375;10;563.40;699;484;10;580.4;796;484;211
83;2;EL LOA;CALAMA;LICEO AMERICA (EX.B-10);INDUSTRIAL;MUNICIPAL;209;440.78;615.5;234.0;209;440.59;685;231;209;440.96;624;226;62;445.92;633;243;165;422.73;576;230;229;508.50;749;329;229;516.08;823;329;220
84;2;EL LOA;CALAMA;LICEO ELEUTERIO RAMIREZ MOLINA;INDUSTRIAL;MUNICIPAL;11;427.55;495.5;368.0;11;432.09;503;242;11;423.00;582;306;7;476.71;539;420;3;415.67;450;375;19;441.21;672;339;19;469.68;850;339;10967
85;2;EL LOA;CALAMA;LICEO ELEUTERIO RAMIREZ MOLINA;COMERCIAL;MUNICIPAL;24;409.50;554.5;288.5;24;418.21;589;289;24;400.79;520;188;18;437.28;591;264;11;396.18;490;351;33;517.27;727;358;33;570.64;850;358;10967
86;2;EL LOA;CALAMA;LICEO JORGE ALESSANDRI RODRIGUEZ ;COMERCIAL;MUNICIPAL;130;417.63;560.0;259.5;130;417.03;589;226;130;418.22;594;226;88;440.06;612;243;56;396.09;517;219;152;485.96;701;335;152;501.07;782;335;10970
87;2;EL LOA;CALAMA;LICEO POLIT. CESAREO AGUIRRE GOYENECHEA ;INDUSTRIAL;MUNICIPAL;69;428.53;545.0;298.0;69;420.48;565;242;69;436.58;557;219;46;451.02;620;237;38;426.97;567;285;75;461.59;717;325;75;485.16;850;325;219
88;2;EL LOA;CALAMA;LICEO POLIT. CESAREO AGUIRRE GOYENECHEA ;TECNICA Y SERVICIOS;MUNICIPAL;13;394.50;520.0;282.0;13;379.54;514;231;13;409.46;526;259;10;376.60;530;286;8;363.13;437;230;16;454.63;535;297;16;470.31;627;297;219
89;2;EL LOA;CALAMA;COLEGIO RIO LOA;TECNICA Y SERVICIOS;SUBVENC;10;390.20;496.5;245.0;10;400.40;560;226;10;380.00;509;259;8;382.00;595;226;6;389.00;472;208;26;521.88;660;382;26;542.5;739;382;12836
90;2;EL LOA;SAN PEDRO DE ATACAMA;LICEO AGROPECUARIO LIKAN ANTAI C-30;AGRICOLA;MUNICIPAL;2;357.75;406.0;309.5;2;363.50;438;289;2;352.00;374;330;;;;;2;429.50;437;422;6;402.83;491;354;6;403.17;493;354;12842
91;2;EL LOA;SAN PEDRO DE ATACAMA;LICEO AGROPECUARIO LIKAN ANTAI C-30;INDUSTRIAL;MUNICIPAL;4;513.50;627.5;363.0;4;494.25;661;317;4;532.75;594;409;1;562.00;562;562;4;503.25;598;407;9;526.11;741;413;9;558.33;850;413;12842
92;2;EL LOA;SAN PEDRO DE ATACAMA;LICEO AGROPECUARIO LIKAN ANTAI C-30;COMERCIAL;MUNICIPAL;7;384.00;499.5;232.5;7;404.00;503;231;7;364.00;526;234;2;485.00;530;440;5;362.20;504;230;9;510.89;635;431;9;538.78;744;431;12842
93;2;EL LOA;SAN PEDRO DE ATACAMA;LICEO AGROPECUARIO LIKAN ANTAI C-30  ;TECNICA Y SERVICIOS;MUNICIPAL;9;419.56;566.5;340.0;9;441.56;613;305;9;397.56;520;282;2;546.00;607;485;4;430.25;472;375;10;456.60;584;350;10;469;655;350;12842
94;2;ANTOFAGASTA;ANTOFAGASTA;INSTITUTO SUPERIOR DE COMERCIO JERARDO MUÑOZ C. ;COMERCIAL;MUNICIPAL;142;427.42;566.5;280.5;142;432.06;594;215;142;422.79;557;196;107;430.14;579;226;63;400.17;539;224;214;510.13;705;348;214;519.07;755;348;280
95;2;ANTOFAGASTA;ANTOFAGASTA;INSTITUTO SUPERIOR DE COMERCIO JERARDO MUÑOZ C. ;COMERCIAL;MUNICIPAL;6;428.67;520.0;286.5;6;445.00;554;362;6;412.33;520;211;4;499.75;616;399;2;412.50;450;375;9;477.78;607;376;9;505.33;769;376;280
96;2;ANTOFAGASTA;ANTOFAGASTA;LICEO INDUSTRIAL EULOGIO GORDO MONEO ;INDUSTRIAL;MUNICIPAL;3;461.33;518.5;431.5;3;481.33;576;430;3;441.33;461;425;1;519.00;519;519;2;397.50;534;261;5;543.60;737;297;5;577.6;825;297;279
